epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.02,1.74095,3.00625,1.58392,0.17346,0.22061,0.15876,0.06828,1.87496,3.76869,1.6522,0.000472805,0.000472805,0.000472805
2,1337.98,1.71479,2.29745,1.52715,0.3446,0.59513,0.41907,0.16675,1.8863,2.68603,1.63255,0.000939742,0.000939742,0.000939742
3,2074.75,1.74471,1.98132,1.5728,0.27085,0.39094,0.30617,0.12803,1.94793,2.50348,1.66307,0.00139725,0.00139725,0.00139725
4,2811.83,1.71881,1.84999,1.59092,0.34327,0.58577,0.48033,0.1787,2.02479,1.9163,1.71242,0.00138656,0.00138656,0.00138656
5,3538.11,1.68413,1.66672,1.56084,0.75963,0.48231,0.51695,0.2064,1.84844,1.62893,1.59886,0.00137241,0.00137241,0.00137241
6,4264.05,1.67271,1.60598,1.53098,0.39459,0.81167,0.65006,0.30188,1.71302,1.38162,1.54164,0.00135826,0.00135826,0.00135826
7,4982.58,1.63545,1.53437,1.51506,0.7654,0.47676,0.5352,0.24596,1.68982,1.51651,1.50137,0.00134412,0.00134412,0.00134412
8,5698.3,1.62794,1.53239,1.50889,0.83388,0.45409,0.5742,0.2578,1.81101,1.46616,1.55741,0.00132997,0.00132997,0.00132997
9,6438.94,1.60638,1.46729,1.50279,0.81769,0.51031,0.5783,0.2342,1.85929,1.37235,1.64661,0.00131582,0.00131582,0.00131582
10,7198.54,1.6006,1.43757,1.50237,0.88754,0.54591,0.70903,0.30771,1.7061,1.32806,1.56365,0.00130168,0.00130168,0.00130168
11,7923.84,1.58607,1.4107,1.4945,0.8001,0.51329,0.56078,0.24045,1.77455,1.42609,1.60808,0.00128753,0.00128753,0.00128753
12,8657.33,1.59506,1.4123,1.50804,0.44985,0.65917,0.62736,0.29122,1.71149,1.29805,1.58577,0.00127338,0.00127338,0.00127338
13,9410.25,1.56752,1.37307,1.4796,0.87096,0.53015,0.68103,0.28947,1.75759,1.28571,1.59686,0.00125923,0.00125923,0.00125923
14,10162.1,1.55152,1.34382,1.47087,0.58252,0.64679,0.62353,0.27043,1.67513,1.39107,1.58242,0.00124509,0.00124509,0.00124509
