epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.12156,3.00075,9.98687,2.24589,0,0,0,0,1.28077,9.88755,1.12084,2e-05,2e-05,2e-05
2,17.6055,3.05883,9.75864,2.48115,0,0,0,0,1.40184,11.4766,1.15061,5.9406e-05,5.9406e-05,5.9406e-05
3,26.094,2.58732,6.77452,1.96158,0,0,0,0,1.62095,22.449,1.22707,9.802e-05,9.802e-05,9.802e-05
4,34.9223,2.49623,5.08455,1.99079,0.00829,1,0.00961,0.00331,1.99004,32.0772,1.23736,0.000135842,0.000135842,0.000135842
5,43.5059,2.38663,4.611,1.61233,0.17303,0.5,0.18628,0.05948,1.76608,29.0978,1.17266,0.000172872,0.000172872,0.000172872
6,51.9577,2.30543,4.0271,1.66835,0.5403,0.5,0.745,0.28538,1.58827,24.4722,1.11943,0.00020911,0.00020911,0.00020911
7,60.5466,2.35283,5.54926,1.67012,0.9825,1,0.995,0.3975,1.50261,13.9007,1.08663,0.000244556,0.000244556,0.000244556
8,69.2599,1.85172,2.75315,1.23357,0.9602,1,0.995,0.496,1.42422,8.4478,1.05466,0.00027921,0.00027921,0.00027921
9,78.047,1.74825,3.2615,1.42165,1,0.905,0.995,0.32275,1.43059,6.41806,1.06231,0.000313072,0.000313072,0.000313072
10,86.4829,2.34803,3.23274,1.6658,0.49655,1,0.82833,0.18183,1.51099,4.98631,1.09723,0.000346142,0.000346142,0.000346142
11,94.837,2.00027,2.82575,1.48218,0.10664,0.5,0.055,0.033,1.8565,6.79381,1.19472,0.00037842,0.00037842,0.00037842
12,103.267,1.90311,2.33282,1.38556,0.10664,0.5,0.055,0.033,1.8565,6.79381,1.19472,0.000409906,0.000409906,0.000409906
13,111.821,1.32895,1.87851,1.06714,0.07281,0.5,0.055,0.02296,1.99882,6.18729,1.2587,0.0004406,0.0004406,0.0004406
14,120.198,1.79952,2.15934,1.35672,0.04326,0.5,0.055,0.02265,2.14849,5.10132,1.32626,0.000470502,0.000470502,0.000470502
15,128.676,1.72532,2.2123,1.39614,0.04326,0.5,0.055,0.02265,2.14849,5.10132,1.32626,0.000499612,0.000499612,0.000499612
16,137.073,1.77054,2.08025,1.31303,0.11944,0.5,0.0825,0.04125,2.25405,3.87937,1.38421,0.00052793,0.00052793,0.00052793
17,145.737,1.87007,2.16255,1.55207,0.06653,0.5,0.055,0.022,2.28131,3.40038,1.38127,0.000555456,0.000555456,0.000555456
18,154.163,1.71501,2.11356,1.305,0.06653,0.5,0.055,0.022,2.28131,3.40038,1.38127,0.00058219,0.00058219,0.00058219
19,162.372,1.72805,1.81965,1.36917,0.00167,0.5,0.00176,0.00053,2.44609,4.39207,1.41223,0.000608132,0.000608132,0.000608132
20,170.655,1.65534,1.98432,1.31992,0.00167,0.5,0.00176,0.00053,2.44609,4.39207,1.41223,0.000633282,0.000633282,0.000633282
21,179.073,1.73999,2.1933,1.41359,0.0773,0.5,0.10495,0.03237,2.04243,3.70798,1.21111,0.00065764,0.00065764,0.00065764
22,187.329,1.68402,2.09813,1.14738,0.0773,0.5,0.10495,0.03237,2.04243,3.70798,1.21111,0.000681206,0.000681206,0.000681206
23,195.793,1.59521,2.02028,1.21563,0.86038,0.5,0.55056,0.11836,2.26601,2.93781,1.27702,0.00070398,0.00070398,0.00070398
24,204.139,1.83723,2.03722,1.39573,0.86038,0.5,0.55056,0.11836,2.26601,2.93781,1.27702,0.000725962,0.000725962,0.000725962
25,212.452,1.65831,2.00748,1.37351,0.44392,0.5,0.32442,0.1029,2.54165,4.5172,1.3827,0.000747152,0.000747152,0.000747152
26,220.417,1.5937,2.09983,1.28207,0.44392,0.5,0.32442,0.1029,2.54165,4.5172,1.3827,0.00076755,0.00076755,0.00076755
27,229.021,1.56538,2.07158,1.15218,0.44392,0.5,0.32442,0.1029,2.54165,4.5172,1.3827,0.000787156,0.000787156,0.000787156
28,238.098,1.5214,1.89497,1.33874,0.44775,0.5,0.30632,0.08803,2.25205,3.3115,1.36737,0.00080597,0.00080597,0.00080597
